input_id	dealiased_id	standard_id	short_id
PMID:12465053	PMID:12465053	pubmed:12465053	Uq52G5a5
PMID:12633144	PMID:12633144	pubmed:12633144	T3FKLCOR
PMID:12902309	PMID:12902309	pubmed:12902309	4KgvbRsr
PMID:1320531	PMID:1320531	pubmed:1320531	14kwJM1pB
PMID:1494900	PMID:1494900	pubmed:1494900	nTRes8Wf
PMID:14991820	PMID:14991820	pubmed:14991820	47RRljop
PMID:15197709	PMID:15197709	pubmed:15197709	oIrEMuTH
PMID:15389895	PMID:15389895	pubmed:15389895	8V2nRy8M
PMID:15468109	PMID:15468109	pubmed:15468109	UIMHGPAH
PMID:15634729	PMID:15634729	pubmed:15634729	1BnlkhTR6
PMID:15912496	PMID:15912496	pubmed:15912496	1BcscTCBh
PMID:16014651	PMID:16014651	pubmed:16014651	1ALrFkYww
PMID:16320253	PMID:16320253	pubmed:16320253	VIr0Bb5e
PMID:16407544	PMID:16407544	pubmed:16407544	rOY3BMmN
PMID:16421740	PMID:16421740	pubmed:16421740	FGTLT5wj
PMID:16476936	PMID:16476936	pubmed:16476936	FcLKhRgc
PMID:16753180	PMID:16753180	pubmed:16753180	Gwo2dxGA
PMID:16896314	PMID:16896314	pubmed:16896314	h8Bv9DHW
PMID:1691042	PMID:1691042	pubmed:1691042	12aygQ0Ti
PMID:16941622	PMID:16941622	pubmed:16941622	CGqeco7u
PMID:1694418	PMID:1694418	pubmed:1694418	WZllU9aK
PMID:17029264	PMID:17029264	pubmed:17029264	f8f1m9Vv
PMID:17052351	PMID:17052351	pubmed:17052351	sUJ68KYh
PMID:17142832	PMID:17142832	pubmed:17142832	15TwsAbFP
PMID:1718530	PMID:1718530	pubmed:1718530	qhEHfMxX
PMID:17639427	PMID:17639427	pubmed:17639427	A3YsBIOz
PMID:17894336	PMID:17894336	pubmed:17894336	1CG25MgxX
PMID:18163454	PMID:18163454	pubmed:18163454	1GQTw5P33
PMID:18227417	PMID:18227417	pubmed:18227417	u0oUU7cX
PMID:18264713	PMID:18264713	pubmed:18264713	1COCbgBbw
PMID:18329941	PMID:18329941	pubmed:18329941	IQiBY61E
PMID:18581481	PMID:18581481	pubmed:18581481	Teef1ERV
PMID:18804518	PMID:18804518	pubmed:18804518	PWR2KX7C
PMID:1892359	PMID:1892359	pubmed:1892359	HuF3MzFh
PMID:1895529	PMID:1895529	pubmed:1895529	yo2nNCWF
PMID:19022934	PMID:19022934	pubmed:19022934	wrTAuDkp
PMID:19519642	PMID:19519642	pubmed:19519642	15ljwHTP
PMID:19597132	PMID:19597132	pubmed:19597132	gQPxI33n
PMID:1972319	PMID:1972319	pubmed:1972319	ZwKjBBe3
PMID:19735086	PMID:19735086	pubmed:19735086	Lp448V0U
PMID:1978260	PMID:1978260	pubmed:1978260	JShnGl6y
PMID:20176003	PMID:20176003	pubmed:20176003	1602gLSEI
PMID:2065255	PMID:2065255	pubmed:2065255	RhQEw3LU
PMID:21147074	PMID:21147074	pubmed:21147074	1DHcqLp7v
PMID:21553300	PMID:21553300	pubmed:21553300	13fife7AX
PMID:21664855	PMID:21664855	pubmed:21664855	EJ8pQpgA
PMID:21696423	PMID:21696423	pubmed:21696423	kkMq7rJq
PMID:22306459	PMID:22306459	pubmed:22306459	ZpT4SmhT
PMID:2257487	PMID:2257487	pubmed:2257487	tWS1ZfHi
